,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
196,L.8,3,418.5,173.433333333333,86957543.4979365,51.6221392276667,4.03333333333333,3.00174242127303e-05,25MB,NC,500000,30.0174242127303,A2
197,L.8,4,449.5,224.90625,112675044.737503,51.715079425162,5.4375,-2.40891142149055e-07,25MB,NC,500000,-0.240891142149055,A2
198,L.8,5,479.5,274.214285714286,137343946.325298,52.1143829455952,3.57142857142857,4.7423222454835e-06,25MB,NC,500000,4.7423222454835,A2
199,L.8,6,509,325.258064516129,162912468.989461,55.2733297321774,4.06451612903226,7.2538337045979e-06,25MB,NC,500000,7.2538337045979,A2
200,L.8,7,537.5,373.730769230769,187121019.421993,54.6357284569872,5.80769230769231,8.67349068694942e-07,25MB,NC,500000,0.867349068694942,A2
201,L.8,8,567.5,427.205882352941,213836959.744393,54.8659739890573,7.17647058823529,1.17286806345838e-05,25MB,NC,500000,11.7286806345838,A2
202,L.8,9,602.5,479.083333333333,239815309.153244,44.16091833096,15.75,-9.32422776835103e-06,25MB,NC,500000,-9.32422776835103,A2
203,L.8,10,631,510,255238462.480056,17.3636323821867,17.8571428571429,-2.95975245067616e-06,25MB,NC,500000,-2.95975245067616,A2
204,NA,0,642,0,0,55.57914791,1,NA,25MB,NC,500000,NA,NA
205,L.10,0,30.5,38.25,19377091.7691996,84.0970133486504,7.56666666666667,-2.21655687502985e-05,50MB,NC,500000,-22.1655687502985,Sex
206,L.10,1,68,141.266666666667,70861936.7811111,55.6532250326667,2.8,-1.60656816200048e-17,50MB,NC,500000,-1.60656816200048e-11,Sex
207,L.10,2,80,252,126191484.861111,54.9443530488889,3.11111111111111,2.76716965861229e-18,50MB,NC,500000,2.76716965861229e-12,Sex
208,L.3,0,113,31.3157894736842,15928000.9111386,32.1148468233137,11.0350877192982,-5.06273868018774e-06,50MB,NC,500000,-5.06273868018774,A4
209,L.5,0,174.5,37.4393939393939,18960860.3424362,34.4858034888741,9.57575757575758,2.39308981787305e-06,50MB,NC,500000,2.39308981787305,A3
210,L.5,1,217.5,175.3,87903399.4094048,49.2003196545,3.65,3.16104221449337e-18,50MB,NC,500000,3.16104221449337e-12,A3
211,L.5,2,239.5,241.666666666667,121084225.841667,51.0056809520833,2.875,3.10563333394911e-05,50MB,NC,500000,31.0563333394911,A3
212,L.7,0,261.5,11.75,6101041.1237266,122.212407447188,14.7,-2.93611130362746e-06,50MB,NC,500000,-2.93611130362746,A1
213,L.7,2,272.5,280.5,140532394.805555,0,10,0,50MB,NC,500000,0,A1
214,L.7,3,275.5,348,174252120.027778,69.0335698225,3,1.57081057677887e-17,50MB,NC,500000,1.57081057677887e-11,A1
215,L.7,6,290,674.16,337329418.992346,41.7876507202318,13.64,-1.79999675612307e-05,50MB,NC,500000,-17.9999675612307,A1
216,L.8,0,340,45.92,23198061.129073,78.2876950706855,8.17333333333333,9.03135758582171e-06,50MB,NC,500000,9.03135758582171,A2
217,L.8,1,405.5,149.25,74875208.3309197,53.4299507392092,3.89285714285714,1.74625294122641e-05,50MB,NC,500000,17.4625294122641,A2
218,L.8,2,463.5,247.916666666667,124187198.811807,51.9014210680309,4.56666666666667,1.98844116284446e-06,50MB,NC,500000,1.98844116284446,A2
219,L.8,3,522,347.368421052632,173954965.677985,54.9824940627924,4.85964912280702,4.19942800916605e-06,50MB,NC,500000,4.19942800916605,A2
220,L.8,4,585.5,453.885714285714,227197253.726088,49.3605167934644,11.5857142857143,2.15371351728807e-07,50MB,NC,500000,0.215371351728807,A2
221,L.8,5,631,510,255238462.480056,17.3636323821867,17.8571428571429,-2.95975245067616e-06,50MB,NC,500000,-2.95975245067616,A2
222,NA,0,642,0,0,55.57914791,1,NA,50MB,NC,500000,NA,NA
223,L.10,1,1.5,0.5,437504.291666667,39.96051239,11,-1.68571610317217e-20,25CM,NC,500000,-1.68571610317217e-14,Sex
224,L.10,2,58.52,117.2,58844326.2520159,56.6628529417189,3.32,-3.10814465948474e-05,25CM,NC,500000,-31.0814465948474,Sex
225,L.10,3,32.6,52,26249687.8891683,92.3418516204615,9.2,1.83549195236514e-05,25CM,NC,500000,18.3549195236514,Sex
226,L.10,4,17,16.4705882352941,8465897.60497061,111.195030718798,11.7647058823529,-1.39698495361587e-06,25CM,NC,500000,-1.39698495361587,Sex
227,L.10,5,5.2,4.2,2353892.45166667,129.664128711778,8.8,-9.82379851388398e-06,25CM,NC,500000,-9.82379851388398,Sex
228,L.3,0,129.285714285714,48.4285714285714,24488279.3186437,18.7102763946447,11.4285714285714,-1.34940643218539e-06,25CM,NC,500000,-1.34940643218539,A4
229,L.3,1,105,22,11260295.8361429,36.3225038381705,11.0689655172414,-7.90143974402024e-06,25CM,NC,500000,-7.90143974402024,A4
230,L.3,2,97.2857142857143,18.5714285714286,9584800.99931973,54.8968361906281,9.71428571428571,-4.04746934494891e-06,25CM,NC,500000,-4.04746934494891,A4
231,L.5,0,169.631578947368,34.7368421052632,17585154.0666989,16.2038473787362,13.5789473684211,6.44128669315665e-06,25CM,NC,500000,6.44128669315665,A3
232,L.5,1,174,35.8139534883721,18159496.0503917,40.3695686544117,8.34883720930233,7.27141779318563e-07,25CM,NC,500000,0.727141779318563,A3
233,L.5,2,227.291666666667,199.520833333333,100011040.282391,50.8425252889583,3.27083333333333,1.13873222244922e-05,25CM,NC,500000,11.3873222244922,A3
234,L.7,0,286.916666666667,505.083333333333,252821074.886656,13.50565594014,12,-3.81662447855784e-06,25CM,NC,500000,-3.81662447855784,A1
235,L.7,1,286.909090909091,670.818181818182,335601493.349579,38.6731726152821,15,-3.35541799615961e-06,25CM,NC,500000,-3.35541799615961,A1
